timestamp,semester,prior_degree,age_band,gender,public_high_school,software_experience,employed_in_software,project_count,primary_role,largest_team_size,genai_general_frequency,genai_se_frequency,genai_activities,genai_tools_last_12m,methodology,likert_useful,likert_productivity,likert_quality,likert_flow_change,likert_any_methodology,likert_methodology_fit,likert_new_competencies,likert_new_roles,likert_confidence_ai_code,role_backend_impact,role_frontend_impact,role_qa_impact,role_pmgr_impact,role_product_manager_impact,role_scrum_master_impact,open_biggest_benefit,open_five_year_impact,project_confidence_pre_start,project_challenges,automation_speed_up,automation_revision_needed,learning_motivation,learning_expected_level,automation_collaboration_help,autonomy_vs_tool_dependence,open_project_feeling,open_professional_growth,prior_project_with_genai_feature,consent,genai_general_frequency_num,genai_se_frequency_num,prior_project_with_genai_feature_num,employed_in_software_num,likert_useful_num,likert_productivity_num,likert_quality_num,likert_flow_change_num,likert_any_methodology_num,likert_methodology_fit_num,likert_new_competencies_num,likert_new_roles_num,likert_confidence_ai_code_num,perception_index,role_disruption_index,n_genai_tools,n_genai_activities,n_project_challenges,high_se_usage,daily_or_weekly_general_usage,adoption_score_raw,adoption_segment
2025-09-05 09:28:30,8º semestre,Não,21-25 anos,Masculino,Sim,1-3 anos,Não,1-2 projetos,QA / Testes,Mais de 50,Algumas vezes por mês,Raramente,Pesquisa / Perguntas gerais / Uso Pessoal,"ChatGPT, Gemini, DeepSeek","Ágil (Scrum, Kanban)",Neutro,Neutro,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,3,4,2,2,2,2,Nenhum,Irá mudar severamente o processo de desenvolvimento de software em todos as suas partes,4,Adaptação a novas ferramentas e tecnologias,3,5,5,Significativo (aprenderei várias técnicas novas),3,2,Sinto me muito entusiasmado,Muito alta,Não,"Sim, eu li e concordo.",2,1,0,0,3,3,2,4,2,4,4,4,2,3.111111111111111,2.5,3,1,1,False,False,7,Lower adoption
2025-09-05 09:29:41,6º semestre,Não,21-25 anos,Não binário,Sim,Mais de 5 anos,Sim,3-5 projetos,Data Science / ML,1-5,Diariamente,Diariamente,"Geração de código, Depuração / debug, Brainstorming de ideias, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, Gemini, Claude, DeepSeek, GitHub Copilot","Ágil (Scrum, Kanban)",Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Neutro,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,1,1,1,1,1,1,"Certamente a geração de código boilerplate, hoje em dia eu produzo bem mais pensando no algoritmo e na lógica do que preciso fazer e em sequência passando um pente fino","As IAs generativas vão mudar a forma de se trabalhar totalmente, sera obrigatório, para se manter o mesmo nivel de produtividade do seus pares, você saber e entender como um chatbot funciona, context window, prompt enginering, você entender identificar falhas típicas de llm, quando fechar um chat e começar outro, etc.",5,Compreensão dos requisitos do cliente,5,5,3,Básico (vou consolidar conhecimentos já adquiridos),5,5,Sinto que vai ser uma experiência legal e desafiadora,"Sinto que há espaço para crescimento, principalmente nas habilidades interpessoais",Sim,"Sim, eu li e concordo.",4,4,1,1,5,5,5,5,3,4,5,5,5,4.666666666666667,1.0,5,4,1,True,True,18,Higher adoption
2025-09-05 09:29:42,7º semestre,Não,21-25 anos,Feminino,Sim,1-3 anos,Sim,1-2 projetos,Gerente de projeto,11-20,Semanalmente,Algumas vezes por mês,"Depuração / debug, Escrita de testes, Documentação, Refatoração, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, GitHub Copilot","Ágil (Scrum, Kanban)",Concordo totalmente,Concordo totalmente,Neutro,Neutro,Discordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo,2,2,1,1,1,3,Produtividade,"Facilidade em gerar softwares, produtividade.",3,"Tomada de decisões de design de software, Integração de componentes e sistemas, Gerenciamento de tempo",4,5,5,Moderado (aprenderei algumas novas técnicas),4,3,Empolgação para realizar algo novo,Espero entender um pouco melhor como funciona  assim desenvolver tecnicamente falandk,Sim,"Sim, eu li e concordo.",3,2,1,1,5,5,3,3,2,5,4,5,4,4.0,1.6666666666666667,2,5,3,False,True,13,Moderate adoption
2025-09-05 09:29:56,8º semestre,Não,21-25 anos,Masculino,Não,1-3 anos,Não,1-2 projetos,Data Science / ML,1-5,Diariamente,Diariamente,"Documentação, Brainstorming de ideias, Análise de requisitos, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, Gemini, DeepSeek, GitHub Copilot","Ágil (Scrum, Kanban)",Concordo totalmente,Concordo,Neutro,Neutro,Neutro,Neutro,Concordo totalmente,Discordo,Neutro,1,3,1,1,1,3,"Reduzir a curva de aprendizado caso quem esteja desenvolvendo não tenha toda a bagagem técnica necessária, uma vez que com IA generativa você tem uma grande carga de informações e respostas centralizadas.","Acredito que a régua para ser contratado e se destacar vai ser absurdamente maior, uma vez que a tendência é a IA conseguir fazer com mais proficiência uma gama de coisas maior.",4,"Tomada de decisões de design de software, Integração de componentes e sistemas, Gerenciamento de tempo",5,5,5,Significativo (aprenderei várias técnicas novas),5,2,Nervoso.,"Acredito que trabalhar em grupo, quando não ocorre confusão, é sempre uma experiência de aprendizado.",Não,"Sim, eu li e concordo.",4,4,0,0,5,4,3,3,3,3,5,2,3,3.4444444444444446,1.6666666666666667,4,4,3,True,True,16,Higher adoption
2025-09-05 09:30:56,5º semestre,Não,21-25 anos,Feminino,Não,Menos de 1 ano,Não,1-2 projetos,Desenvolvedor(a) Frontend,6-10,Semanalmente,Algumas vezes por mês,"Geração de código, Depuração / debug, Documentação, Brainstorming de ideias, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, DeepSeek, GitHub Copilot","Ágil (Scrum, Kanban)",Concordo totalmente,Concordo totalmente,Discordo,Concordo totalmente,Discordo,Concordo,Concordo totalmente,Concordo totalmente,Discordo,4,4,3,4,4,4,Maior rapidez em entregar,Acho que ela diminuiria o tempo de produção porém é preciso ter cuidado por que ela as vezes alucina,4,"Adaptação a novas ferramentas e tecnologias, Integração de componentes e sistemas, Gerenciamento de tempo",4,4,4,Significativo (aprenderei várias técnicas novas),4,3,Me sinto meio nervosa mas também confiante,Acredito que vai me ajudar muito na minha vida acadêmica e profissional,Não,"Sim, eu li e concordo.",3,2,0,0,5,5,2,5,2,4,5,5,2,3.888888888888889,3.8333333333333335,3,5,3,False,True,13,Moderate adoption
2025-09-05 09:31:46,5º semestre,Não,21-25 anos,Masculino,Sim,Menos de 1 ano,Sim,1-2 projetos,Desenvolvedor(a) Backend,1-5,Algumas vezes por mês,Algumas vezes por mês,"Documentação, Prototipação","ChatGPT, Gemini","Ágil (Scrum, Kanban)",Concordo,Concordo,Neutro,Concordo,Neutro,Neutro,Neutro,Concordo,Neutro,1,2,1,1,2,2,A grande ajuda em otimização de tempo.,Acredito que vá afetar bastante e futuramente a IA vai sempre estar envolvida em desenvolvimento de software.,5,"Tomada de decisões de design de software, Integração de componentes e sistemas",4,4,5,Significativo (aprenderei várias técnicas novas),4,5,Acredito que a disciplina vai me ajudar bastante a compreender o trabalho com IA e também o trabalho em grupo vai ser uma experiência muito boa.,Acredito que eu  me desenvolva bastante nessa disciplina e também ganhar bastante experiência.,Sim,"Sim, eu li e concordo.",2,2,1,1,4,4,3,4,3,3,3,4,3,3.4444444444444446,1.5,2,2,2,False,False,9,Lower adoption
2025-09-05 09:32:04,7º semestre,Não,17-20 anos,Masculino,Não,1-3 anos,Não,1-2 projetos,Desenvolvedor(a) Frontend,1-5,Diariamente,Semanalmente,"Geração de código, Depuração / debug, Brainstorming de ideias, Análise de requisitos, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, Gemini, DeepSeek, GitHub Copilot","Ágil (Scrum, Kanban)",Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Neutro,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,3,3,2,2,3,3,"Foi de conseguir entender conceitos e ferramentas através da IA, e conseguir construir um código mais elaborado e funcionar com ela.","Acho que o fluxo de trabalho será diferente, e usaremos a IA mais frequentemente em conjunto com o trabalho humano para complementar o desenvolvimento de projetos",3,"Adaptação a novas ferramentas e tecnologias, Gerenciamento de tempo",5,5,5,Significativo (aprenderei várias técnicas novas),4,3,"Me sinto animado para desenvolver esse projeto, tenho expectativa de conseguir desenvolver um projeto legal.",Tenho expectativas de conseguir aprender muitas técnicas novas.,Sim,"Sim, eu li e concordo.",4,3,1,0,5,5,4,5,3,4,5,5,5,4.555555555555555,2.6666666666666665,4,5,2,True,True,17,Higher adoption
2025-09-05 09:32:39,7º semestre,Não,21-25 anos,Masculino,Não,Menos de 1 ano,Não,1-2 projetos,Desenvolvedor(a) Fullstack,1-5,Algumas vezes por mês,Algumas vezes por mês,"Geração de código, Depuração / debug, Documentação, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, Gemini, DeepSeek, GitHub Copilot","Ágil (Scrum, Kanban)",Concordo,Concordo,Concordo,Concordo,Neutro,Concordo,Concordo,Concordo totalmente,Neutro,3,3,2,2,2,2,"Maior agilidade para desenvolvimento de códigos, menor custo...",Me imagino né adaptando ao uso delas e as novas tendências que serão criadas,5,"Compreensão dos requisitos do cliente, Gerenciamento de tempo",5,3,5,Significativo (aprenderei várias técnicas novas),5,3,Estou muito motivado querendo aprender bastante coisas novas.,"Sinto que vou me integrar bastante nessa área em específica e obter bastante conhecimento, assim podendo adicionar repertório em projetos futuros",Não,"Sim, eu li e concordo.",2,2,0,0,4,4,4,4,3,4,4,5,3,3.888888888888889,2.3333333333333335,4,4,2,False,False,12,Lower adoption
2025-09-05 09:32:44,6º semestre,Não,21-25 anos,Feminino,Não,Menos de 1 ano,Não,1-2 projetos,Data Science / ML,1-5,Raramente,Raramente,"Depuração / debug, Brainstorming de ideias, Análise de requisitos, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, Claude, DeepSeek","Ágil (Scrum, Kanban)",Concordo,Concordo,Neutro,Neutro,Neutro,Concordo,Concordo,Concordo,Neutro,3,3,3,3,3,3,"Análise de requisitos e divisão de tasks a serem realizadas, bem como testar mais facilmente o que foi desenvolvido","Acredito que irão ocupar cada vez mais espaço no desenvolvimento, desde a parte de requisitos até implantação",4,"Tomada de decisões de design de software, Adaptação a novas ferramentas e tecnologias, Integração de componentes e sistemas",4,3,4,Significativo (aprenderei várias técnicas novas),4,2,"Não definimos ainda o tema do projeto, mas tenho boas expectativas que será algo útil e funcional",Acredito que terei melhor conhecimento de ferramentas e do processo de desenvolvimento de software no geral,Não,"Sim, eu li e concordo.",1,1,0,0,4,4,3,3,3,4,4,4,3,3.5555555555555554,3.0,3,4,3,False,False,9,Lower adoption
2025-09-05 09:33:43,6º semestre,Não,21-25 anos,Masculino,Não,1-3 anos,Não,3-5 projetos,QA / Testes,6-10,Algumas vezes por mês,Semanalmente,"Geração de código, Depuração / debug, Brainstorming de ideias, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, Gemini","Ágil (Scrum, Kanban)",Concordo,Concordo,Discordo,Concordo,Concordo,Neutro,Discordo,Concordo totalmente,Concordo,2,2,2,1,1,2,Eu gosto de usar pra ter mais ideias do que fazer e também organizá-las em seções pra análise e estudo,Acho que vai se tornar algo intrínseco a carreira de qualquer programador,5,Concepção do que será desenvolvido,4,4,5,Significativo (aprenderei várias técnicas novas),4,3,"Ansioso pra aprender, IA's me interessam muito",Expectativa razoável de melhorar em desenvolvimento de projetos,Não,"Sim, eu li e concordo.",2,3,0,0,4,4,2,4,4,3,2,5,4,3.5555555555555554,1.6666666666666667,2,4,1,True,False,11,Lower adoption
