Grupo,Perguntas,[INÍCIO] % Discorda ou Discorda Totalmente (<3),[INÍCIO] % Neutro (=3),[INÍCIO] % Concorda ou Concorda Totalmente (>3),[FINAL] % Discorda ou Discorda Totalmente (<3),[FINAL] % Neutro (=3),[FINAL] % Concorda ou Concorda Totalmente (>3),[VARIAÇÃO] % Discorda ou Discorda Totalmente (<3),[VARIAÇÃO] % Neutro (=3),[VARIAÇÃO] % Concorda ou Concorda Totalmente (>3),Análise
"Utilidade, Produtividade e Qualidade",Ferramentas de IA generativa em Engenharia de Software são úteis.,0.00%,2.17%,97.83%,2.50%,5.00%,92.50%,2.50%,2.83%,-5.33%,"## Ferramentas de IA generativa em Engenharia de Software são úteis.
Início do semestre: Discorda (0.00%), Neutro (2.17%), Concorda (97.83%).
Final do semestre: Discorda (2.50%), Neutro (5.00%), Concorda (92.50%).
Variação: Discorda (2.50%), Neutro (2.83%), Concorda (-5.33%).
Análise: houve redução na concordância moderada, com aumento da neutralidade (maior indecisão)."
"Utilidade, Produtividade e Qualidade",IA generativa aumenta minha produtividade na engenharia de software.,0.00%,6.52%,93.48%,2.50%,12.50%,85.00%,2.50%,5.98%,-8.48%,"## IA generativa aumenta minha produtividade na engenharia de software.
Início do semestre: Discorda (0.00%), Neutro (6.52%), Concorda (93.48%).
Final do semestre: Discorda (2.50%), Neutro (12.50%), Concorda (85.00%).
Variação: Discorda (2.50%), Neutro (5.98%), Concorda (-8.48%).
Análise: houve redução na concordância moderada, com aumento da neutralidade (maior indecisão)."
"Utilidade, Produtividade e Qualidade",IA generativa melhora a qualidade do software produzido.,8.70%,45.65%,45.65%,10.00%,37.50%,52.50%,1.30%,-8.15%,6.85%,"## IA generativa melhora a qualidade do software produzido.
Início do semestre: Discorda (8.70%), Neutro (45.65%), Concorda (45.65%).
Final do semestre: Discorda (10.00%), Neutro (37.50%), Concorda (52.50%).
Variação: Discorda (1.30%), Neutro (-8.15%), Concorda (6.85%).
Análise: houve aumento na concordância moderada, indicando polarização das opiniões, com redução da neutralidade (maior definição de opinião)."
Fluxo e Metodologia de Desenvolvimento,O uso de IA generativa altera o fluxo de desenvolvimento de sistemas.,6.52%,28.26%,65.22%,10.00%,22.50%,67.50%,3.48%,-5.76%,2.28%,"## O uso de IA generativa altera o fluxo de desenvolvimento de sistemas.
Início do semestre: Discorda (6.52%), Neutro (28.26%), Concorda (65.22%).
Final do semestre: Discorda (10.00%), Neutro (22.50%), Concorda (67.50%).
Variação: Discorda (3.48%), Neutro (-5.76%), Concorda (2.28%).
Análise: houve aumento na concordância leve, indicando polarização das opiniões, com redução da neutralidade (maior definição de opinião)."
Fluxo e Metodologia de Desenvolvimento,É possível utilizar qualquer metodologia de desenvolvimento de software com IA generativa.,15.22%,45.65%,39.13%,22.50%,32.50%,45.00%,7.28%,-13.15%,5.87%,"## É possível utilizar qualquer metodologia de desenvolvimento de software com IA generativa.
Início do semestre: Discorda (15.22%), Neutro (45.65%), Concorda (39.13%).
Final do semestre: Discorda (22.50%), Neutro (32.50%), Concorda (45.00%).
Variação: Discorda (7.28%), Neutro (-13.15%), Concorda (5.87%).
Análise: houve aumento na concordância moderada, indicando polarização das opiniões, com redução da neutralidade (maior definição de opinião)."
Fluxo e Metodologia de Desenvolvimento,Existe metodologia mais adequada às ferramentas de IA generativa.,10.87%,43.48%,45.65%,5.00%,47.50%,47.50%,-5.87%,4.02%,1.85%,"## Existe metodologia mais adequada às ferramentas de IA generativa.
Início do semestre: Discorda (10.87%), Neutro (43.48%), Concorda (45.65%).
Final do semestre: Discorda (5.00%), Neutro (47.50%), Concorda (47.50%).
Variação: Discorda (-5.87%), Neutro (4.02%), Concorda (1.85%).
Análise: houve aumento na concordância leve, com aumento da neutralidade (maior indecisão)."
Competências e Papéis,O uso de ferramentas de IA generativa exige novas competências que não fazem parte da formação tradicional em Engenharia de Software.,13.04%,17.39%,69.57%,7.50%,25.00%,67.50%,-5.54%,7.61%,-2.07%,"## O uso de ferramentas de IA generativa exige novas competências que não fazem parte da formação tradicional em Engenharia de Software.
Início do semestre: Discorda (13.04%), Neutro (17.39%), Concorda (69.57%).
Final do semestre: Discorda (7.50%), Neutro (25.00%), Concorda (67.50%).
Variação: Discorda (-5.54%), Neutro (7.61%), Concorda (-2.07%).
Análise: houve redução na concordância leve, indicando convergência das opiniões, com aumento da neutralidade (maior indecisão)."
Competências e Papéis,"Novos papéis profissionais surgirão devido à IA generativa (por exemplo, AI Prompt Engineer, AI Auditor).",4.35%,8.70%,86.96%,10.00%,15.00%,75.00%,5.65%,6.30%,-11.96%,"## Novos papéis profissionais surgirão devido à IA generativa (por exemplo, AI Prompt Engineer, AI Auditor).
Início do semestre: Discorda (4.35%), Neutro (8.70%), Concorda (86.96%).
Final do semestre: Discorda (10.00%), Neutro (15.00%), Concorda (75.00%).
Variação: Discorda (5.65%), Neutro (6.30%), Concorda (-11.96%).
Análise: houve redução na concordância forte, com aumento da neutralidade (maior indecisão)."
Competências e Papéis,Sinto-me confiante em revisar e integrar código gerado por IA generativa.,19.57%,32.61%,47.83%,7.50%,32.50%,60.00%,-12.07%,-0.11%,12.17%,"## Sinto-me confiante em revisar e integrar código gerado por IA generativa.
Início do semestre: Discorda (19.57%), Neutro (32.61%), Concorda (47.83%).
Final do semestre: Discorda (7.50%), Neutro (32.50%), Concorda (60.00%).
Variação: Discorda (-12.07%), Neutro (-0.11%), Concorda (12.17%).
Análise: houve aumento na concordância forte, com redução da neutralidade (maior definição de opinião)."
Impacto nas Funções Atuais Típicas,A função de backend será extinta ou severamente afetada pelo uso de ferramentas de IA generativa na engenharia de software. Indique seu grau de concordância de 1 (Discordo totalmente) a 5 (Concordo totalmente).,56.52%,32.61%,10.87%,57.50%,27.50%,15.00%,0.98%,-5.11%,4.13%,"## A função de backend será extinta ou severamente afetada pelo uso de ferramentas de IA generativa na engenharia de software. Indique seu grau de concordância de 1 (Discordo totalmente) a 5 (Concordo totalmente).
Início do semestre: Discorda (56.52%), Neutro (32.61%), Concorda (10.87%).
Final do semestre: Discorda (57.50%), Neutro (27.50%), Concorda (15.00%).
Variação: Discorda (0.98%), Neutro (-5.11%), Concorda (4.13%).
Análise: houve aumento na concordância leve, indicando polarização das opiniões, com redução da neutralidade (maior definição de opinião)."
